abafallar	abafalla	GL_ONLY:IA	2PS
abafallar	abafalla	GL_ONLY:PI	3PS
abafallar	abafallaba	GL_ONLY:II	1PS
abafallar	abafallaba	GL_ONLY:II	3PS
abafallar	abafallabades	GL_ONLY:II	NA
abafallar	abafallabamos	GL_ONLY:II	NA
abafallar	abafallaban	GL_ONLY:II	3PP
abafallar	abafallabas	GL_ONLY:II	2PS
abafallar	abafallaches	GL_ONLY:EI	2PS
abafallar	abafallade	GL_ONLY:IA	NA
abafallar	abafallades	GL_ONLY:PI	NA
abafallar	abafallado	GL_ONLY:FN	Par
abafallar	abafallamos	GL_ONLY:EI	NA
abafallar	abafallamos	GL_ONLY:PI	NA
abafallar	abafallan	GL_ONLY:PI	3PP
abafallar	abafallando	GL_ONLY:FN	Xer
abafallar	abafallar	GL_ONLY:FN	Inf
abafallar	abafallar	GL_ONLY:FS	1PS
abafallar	abafallar	GL_ONLY:FS	3PS
abafallar	abafallar	GL_ONLY:IP	1PS
abafallar	abafallar	GL_ONLY:IP	3PS
abafallar	abafallara	GL_ONLY:MI	1PS
abafallar	abafallara	GL_ONLY:MI	3PS
abafallar	abafallarades	GL_ONLY:MI	NA
abafallar	abafallaramos	GL_ONLY:MI	NA
abafallar	abafallaran	GL_ONLY:MI	3PP
abafallar	abafallaras	GL_ONLY:MI	2PS
abafallar	abafallardes	GL_ONLY:FS	NA
abafallar	abafallardes	GL_ONLY:IP	NA
abafallar	abafallaredes	GL_ONLY:FI	NA
abafallar	abafallarei	GL_ONLY:FI	1PS
abafallar	abafallaremos	GL_ONLY:FI	NA
abafallar	abafallaren	GL_ONLY:FS	3PP
abafallar	abafallaren	GL_ONLY:IP	3PP
abafallar	abafallares	GL_ONLY:FS	2PS
abafallar	abafallares	GL_ONLY:IP	2PS
abafallar	abafallariades	GL_ONLY:TI	NA
abafallar	abafallariamos	GL_ONLY:TI	NA
abafallar	abafallarmos	GL_ONLY:FS	NA
abafallar	abafallarmos	GL_ONLY:IP	NA
abafallar	abafallaron	GL_ONLY:EI	3PP
abafallar	abafallarÃ¡	GL_ONLY:FI	3PS
abafallar	abafallarÃ¡n	GL_ONLY:FI	3PP
abafallar	abafallarÃ¡s	GL_ONLY:FI	2PS
abafallar	abafallarÃ­a	GL_ONLY:TI	1PS
abafallar	abafallarÃ­a	GL_ONLY:TI	3PS
abafallar	abafallarÃ­an	GL_ONLY:TI	3PP
abafallar	abafallarÃ­as	GL_ONLY:TI	2PS
abafallar	abafallas	GL_ONLY:PI	2PS
abafallar	abafallase	GL_ONLY:IS	1PS
abafallar	abafallase	GL_ONLY:IS	3PS
abafallar	abafallasen	GL_ONLY:IS	3PP
abafallar	abafallases	GL_ONLY:IS	2PS
abafallar	abafallastes	GL_ONLY:EI	NA
abafallar	abafalle	GL_ONLY:IA	NA
abafallar	abafalle	GL_ONLY:IN	NA
abafallar	abafalle	GL_ONLY:PS	1PS
abafallar	abafalle	GL_ONLY:PS	3PS
abafallar	abafalledes	GL_ONLY:IN	NA
abafallar	abafalledes	GL_ONLY:PS	NA
abafallar	abafallei	GL_ONLY:EI	1PS
abafallar	abafallemos	GL_ONLY:IA	NA
abafallar	abafallemos	GL_ONLY:IN	NA
abafallar	abafallemos	GL_ONLY:PS	NA
abafallar	abafallen	GL_ONLY:IA	NA
abafallar	abafallen	GL_ONLY:IN	NA
abafallar	abafallen	GL_ONLY:PS	3PP
abafallar	abafalles	GL_ONLY:IN	2PS
abafallar	abafalles	GL_ONLY:PS	2PS
abafallar	abafallo	GL_ONLY:PI	1PS
abafallar	abafallou	GL_ONLY:EI	3PS
abafallar	abafallÃ¡sedes	GL_ONLY:IS	NA
abafallar	abafallÃ¡semos	GL_ONLY:IS	NA
abanar	abana	GL_ONLY:IA	2PS
abanar	abana	GL_ONLY:PI	3PS
abanar	abanaba	GL_ONLY:II	1PS
abanar	abanaba	GL_ONLY:II	3PS
abanar	abanabades	GL_ONLY:II	NA
abanar	abanabamos	GL_ONLY:II	NA
abanar	abanaban	GL_ONLY:II	3PP
abanar	abanabas	GL_ONLY:II	2PS
abanar	abanaches	GL_ONLY:EI	2PS
abanar	abanade	GL_ONLY:IA	NA
abanar	abanades	GL_ONLY:PI	NA
abanar	abanado	GL_ONLY:FN	Par
abanar	abanamos	GL_ONLY:EI	NA
abanar	abanamos	GL_ONLY:PI	NA
abanar	abanan	GL_ONLY:PI	3PP
abanar	abanando	GL_ONLY:FN	Xer
abanar	abanar	GL_ONLY:FN	Inf
abanar	abanar	GL_ONLY:FS	1PS
abanar	abanar	GL_ONLY:FS	3PS
abanar	abanar	GL_ONLY:IP	1PS
abanar	abanar	GL_ONLY:IP	3PS
abanar	abanara	GL_ONLY:MI	1PS
abanar	abanara	GL_ONLY:MI	3PS
abanar	abanarades	GL_ONLY:MI	NA
abanar	abanaramos	GL_ONLY:MI	NA
abanar	abanaran	GL_ONLY:MI	3PP
abanar	abanaras	GL_ONLY:MI	2PS
abanar	abanardes	GL_ONLY:FS	NA
abanar	abanardes	GL_ONLY:IP	NA
abanar	abanaredes	GL_ONLY:FI	NA
abanar	abanarei	GL_ONLY:FI	1PS
abanar	abanaremos	GL_ONLY:FI	NA
abanar	abanaren	GL_ONLY:FS	3PP
abanar	abanaren	GL_ONLY:IP	3PP
abanar	abanares	GL_ONLY:FS	2PS
abanar	abanares	GL_ONLY:IP	2PS
abanar	abanariades	GL_ONLY:TI	NA
abanar	abanariamos	GL_ONLY:TI	NA
abanar	abanarmos	GL_ONLY:FS	NA
abanar	abanarmos	GL_ONLY:IP	NA
abanar	abanaron	GL_ONLY:EI	3PP
abanar	abanarÃ¡	GL_ONLY:FI	3PS
abanar	abanarÃ¡n	GL_ONLY:FI	3PP
abanar	abanarÃ¡s	GL_ONLY:FI	2PS
abanar	abanarÃ­a	GL_ONLY:TI	1PS
abanar	abanarÃ­a	GL_ONLY:TI	3PS
abanar	abanarÃ­an	GL_ONLY:TI	3PP
abanar	abanarÃ­as	GL_ONLY:TI	2PS
abanar	abanas	GL_ONLY:PI	2PS
abanar	abanase	GL_ONLY:IS	1PS
abanar	abanase	GL_ONLY:IS	3PS
abanar	abanasen	GL_ONLY:IS	3PP
abanar	abanases	GL_ONLY:IS	2PS
abanar	abanastes	GL_ONLY:EI	NA
abanar	abane	GL_ONLY:IA	NA
abanar	abane	GL_ONLY:IN	NA
abanar	abane	GL_ONLY:PS	1PS
abanar	abane	GL_ONLY:PS	3PS
abanar	abanedes	GL_ONLY:IN	NA
abanar	abanedes	GL_ONLY:PS	NA
abanar	abanei	GL_ONLY:EI	1PS
abanar	abanemos	GL_ONLY:IA	NA
abanar	abanemos	GL_ONLY:IN	NA
abanar	abanemos	GL_ONLY:PS	NA
abanar	abanen	GL_ONLY:IA	NA
abanar	abanen	GL_ONLY:IN	NA
abanar	abanen	GL_ONLY:PS	3PP
abanar	abanes	GL_ONLY:IN	2PS
abanar	abanes	GL_ONLY:PS	2PS
abanar	abano	GL_ONLY:PI	1PS
abanar	abanou	GL_ONLY:EI	3PS
abanar	abanÃ¡sedes	GL_ONLY:IS	NA
abanar	abanÃ¡semos	GL_ONLY:IS	NA
acorrer	acorra	GL_ONLY:IA	NA
acorrer	acorra	GL_ONLY:IN	NA
acorrer	acorra	GL_ONLY:PS	1PS
acorrer	acorra	GL_ONLY:PS	3PS
acorrer	acorrades	GL_ONLY:IN	NA
acorrer	acorrades	GL_ONLY:PS	NA
acorrer	acorramos	GL_ONLY:IA	NA
acorrer	acorramos	GL_ONLY:IN	NA
acorrer	acorramos	GL_ONLY:PS	NA
acorrer	acorran	GL_ONLY:IA	NA
acorrer	acorran	GL_ONLY:IN	NA
acorrer	acorran	GL_ONLY:PS	3PP
acorrer	acorras	GL_ONLY:IN	2PS
acorrer	acorras	GL_ONLY:PS	2PS
acorrer	acorre	GL_ONLY:IA	2PS
acorrer	acorre	GL_ONLY:PI	3PS
acorrer	acorrede	GL_ONLY:IA	NA
acorrer	acorredes	GL_ONLY:PI	NA
acorrer	acorremos	GL_ONLY:EI	NA
acorrer	acorremos	GL_ONLY:PI	NA
acorrer	acorren	GL_ONLY:PI	3PP
acorrer	acorrendo	GL_ONLY:FN	Xer
acorrer	acorrer	GL_ONLY:FN	Inf
acorrer	acorrer	GL_ONLY:FS	1PS
acorrer	acorrer	GL_ONLY:FS	3PS
acorrer	acorrer	GL_ONLY:IP	1PS
acorrer	acorrer	GL_ONLY:IP	3PS
acorrer	acorrera	GL_ONLY:MI	1PS
acorrer	acorrera	GL_ONLY:MI	3PS
acorrer	acorrerades	GL_ONLY:MI	NA
acorrer	acorreramos	GL_ONLY:MI	NA
acorrer	acorreran	GL_ONLY:MI	3PP
acorrer	acorreras	GL_ONLY:MI	2PS
acorrer	acorrerdes	GL_ONLY:FS	NA
acorrer	acorrerdes	GL_ONLY:IP	NA
acorrer	acorreredes	GL_ONLY:FI	NA
acorrer	acorrerei	GL_ONLY:FI	1PS
acorrer	acorreremos	GL_ONLY:FI	NA
acorrer	acorreren	GL_ONLY:FS	3PP
acorrer	acorreren	GL_ONLY:IP	3PP
acorrer	acorreres	GL_ONLY:FS	2PS
acorrer	acorreres	GL_ONLY:IP	2PS
acorrer	acorreriades	GL_ONLY:TI	NA
acorrer	acorreriamos	GL_ONLY:TI	NA
acorrer	acorrermos	GL_ONLY:FS	NA
acorrer	acorrermos	GL_ONLY:IP	NA
acorrer	acorreron	GL_ONLY:EI	3PP
acorrer	acorrerÃ¡	GL_ONLY:FI	3PS
acorrer	acorrerÃ¡n	GL_ONLY:FI	3PP
acorrer	acorrerÃ¡s	GL_ONLY:FI	2PS
acorrer	acorrerÃ­a	GL_ONLY:TI	1PS
acorrer	acorrerÃ­a	GL_ONLY:TI	3PS
acorrer	acorrerÃ­an	GL_ONLY:TI	3PP
acorrer	acorrerÃ­as	GL_ONLY:TI	2PS
acorrer	acorres	GL_ONLY:PI	2PS
acorrer	acorrese	GL_ONLY:IS	1PS
acorrer	acorrese	GL_ONLY:IS	3PS
acorrer	acorresen	GL_ONLY:IS	3PP
acorrer	acorreses	GL_ONLY:IS	2PS
acorrer	acorrestes	GL_ONLY:EI	NA
acorrer	acorreu	GL_ONLY:EI	3PS
acorrer	acorriades	GL_ONLY:II	NA
acorrer	acorriamos	GL_ONLY:II	NA
acorrer	acorriches	GL_ONLY:EI	2PS
acorrer	acorrido	GL_ONLY:FN	Par
acorrer	acorro	GL_ONLY:PI	1PS
acorrer	acorrÃ©sedes	GL_ONLY:IS	NA
acorrer	acorrÃ©semos	GL_ONLY:IS	NA
acorrer	acorrÃ­a	GL_ONLY:II	1PS
acorrer	acorrÃ­a	GL_ONLY:II	3PS
acorrer	acorrÃ­an	GL_ONLY:II	3PP
acorrer	acorrÃ­as	GL_ONLY:II	2PS
acorrer	acorrÃ­n	GL_ONLY:EI	1PS
